0,এক আর দুই যোগ করলে তিন হবে।,"এক, দুই, তিন",Number
1,এক আর দুই যোগ করলে তিন হবে।,যোগ,Operator
3,এক আর দুই যোগ করলে তিন হবে।,আর করলে হবে,Others
4,পাঁচের ফ্যাক্টরিয়ালের মান একশ বিশ।,"পাঁচ, একশ বিশ",Number
5,পাঁচের ফ্যাক্টরিয়ালের মান একশ বিশ।,ফ্যাক্টরিয়ালের,Operator
7,পাঁচের ফ্যাক্টরিয়ালের মান একশ বিশ।,মান,Others
9,ঋণাত্মক সংখ্যার বর্গমূল হল যৌগিক সংখ্যা।,বর্গমূল,Operator
10,ঋণাত্মক সংখ্যার বর্গমূল হল যৌগিক সংখ্যা।,"ঋণাত্মক সংখ্যা, যৌগিক সংখ্যা",Common Mathematical Terms
11,ঋণাত্মক সংখ্যার বর্গমূল হল যৌগিক সংখ্যা।,হল,Others
12,অনেকেই এককে মৌলিক সংখ্যা ভেবে ভূল করে থাকেন।,এক,Number
14,অনেকেই এককে মৌলিক সংখ্যা ভেবে ভূল করে থাকেন।,মৌলিক সংখ্যা,Common Mathematical Terms
15,অনেকেই এককে মৌলিক সংখ্যা ভেবে ভূল করে থাকেন।,অনেকেই ভেবে ভূল করে থাকেন।,Others
16,এক কোনো মৌলিক সংখ্যা নয়।,এক,Number
18,এক কোনো মৌলিক সংখ্যা নয়।,মৌলিক সংখ্যা,Common Mathematical Terms
19,এক কোনো মৌলিক সংখ্যা নয়।,"কোনো, নয়",Others
20,এক আর তিন যোগ করলে  চার হবে।,"এক, তিন, চার ",Number
21,এক আর তিন যোগ করলে  চার হবে।,যোগ,Operator
23,এক আর তিন যোগ করলে  চার হবে।,আর করলে  হবে,Others
24,এক আর এক যোগ করলে দুই হবে।,"এক, এক, দুই ",Number
25,এক আর এক যোগ করলে দুই হবে।,যোগ,Operator
27,এক আর এক যোগ করলে দুই হবে।,আর করলে হবে,Others
28,এগার আর দুই যোগ করলে তের হবে,"এগার,দুই ,তের",Number
